9	6	1111111111
12	13	1111111110
6	10	1111111101
20	12	1111111100
8	7	1111111011
4	11	1111111010
6	4	1111111001
27	12	1111111000
7	5	1111110111
5	5	1111110110
3	4	1111110101
5	9	1111110100
5	8	1111110011
8	6	1111110010
10	5	1111110001
33	18	1111110000
7	2	1111101111
5	7	1111101110
4	2	1111101101
6	6	1111101100
4	3	1111101011
3	3	1111101010
2	3	1111101001
8	10	1111101000
5	6	1111100111
1	8	1111100110
7	5	1111100101
5	7	1111100100
11	5	1111100011
7	6	1111100010
10	9	1111100001
30	24	1111100000
8	5	1111011111
3	3	1111011110
5	7	1111011101
2	5	1111011100
3	1	1111011011
2	2	1111011010
2	1	1111011001
6	4	1111011000
4	2	1111010111
3	4	1111010110
0	3	1111010101
7	1	1111010100
1	4	1111010011
1	2	1111010010
3	6	1111010001
9	15	1111010000
7	5	1111001111
5	7	1111001110
2	5	1111001101
2	7	1111001100
6	5	1111001011
5	4	1111001010
4	0	1111001001
6	11	1111001000
7	8	1111000111
7	3	1111000110
2	4	1111000101
8	6	1111000100
4	17	1111000011
12	6	1111000010
17	16	1111000001
32	35	1111000000
10	7	1110111111
4	3	1110111110
3	3	1110111101
3	7	1110111100
2	6	1110111011
4	4	1110111010
2	1	1110111001
5	11	1110111000
2	2	1110110111
2	1	1110110110
0	2	1110110101
3	2	1110110100
3	2	1110110011
2	1	1110110010
2	3	1110110001
7	7	1110110000
1	3	1110101111
3	2	1110101110
1	1	1110101101
3	3	1110101100
1	1	1110101011
1	1	1110101010
2	0	1110101001
6	1	1110101000
1	5	1110100111
2	4	1110100110
2	1	1110100101
7	1	1110100100
3	5	1110100011
3	2	1110100010
6	10	1110100001
14	15	1110100000
6	10	1110011111
3	2	1110011110
2	2	1110011101
4	7	1110011100
3	4	1110011011
0	5	1110011010
0	3	1110011001
5	9	1110011000
4	3	1110010111
3	3	1110010110
2	1	1110010101
8	8	1110010100
4	0	1110010011
4	2	1110010010
3	8	1110010001
10	13	1110010000
8	9	1110001111
5	7	1110001110
3	3	1110001101
9	4	1110001100
1	6	1110001011
3	4	1110001010
4	3	1110001001
11	11	1110001000
8	11	1110000111
7	7	1110000110
8	4	1110000101
10	10	1110000100
16	17	1110000011
11	18	1110000010
20	16	1110000001
41	41	1110000000
12	7	1101111111
2	5	1101111110
1	4	1101111101
4	1	1101111100
2	1	1101111011
2	2	1101111010
3	5	1101111001
4	10	1101111000
1	5	1101110111
2	2	1101110110
1	0	1101110101
6	6	1101110100
1	3	1101110011
1	1	1101110010
2	1	1101110001
9	15	1101110000
1	4	1101101111
2	2	1101101110
2	0	1101101101
3	2	1101101100
1	2	1101101011
0	0	1101101010
2	0	1101101001
2	5	1101101000
5	1	1101100111
2	1	1101100110
2	1	1101100101
2	1	1101100100
6	3	1101100011
1	2	1101100010
4	9	1101100001
10	11	1101100000
1	1	1101011111
2	3	1101011110
0	0	1101011101
3	3	1101011100
0	2	1101011011
1	0	1101011010
2	1	1101011001
4	5	1101011000
1	0	1101010111
0	1	1101010110
1	0	1101010101
1	0	1101010100
1	0	1101010011
1	0	1101010010
3	1	1101010001
6	4	1101010000
4	3	1101001111
0	2	1101001110
4	2	1101001101
2	3	1101001100
0	1	1101001011
4	0	1101001010
2	0	1101001001
6	1	1101001000
2	5	1101000111
3	4	1101000110
3	3	1101000101
2	2	1101000100
3	3	1101000011
6	9	1101000010
8	6	1101000001
11	18	1101000000
7	11	1100111111
3	5	1100111110
0	3	1100111101
5	3	1100111100
2	2	1100111011
3	1	1100111010
5	5	1100111001
9	5	1100111000
1	2	1100110111
4	2	1100110110
0	2	1100110101
1	3	1100110100
2	1	1100110011
2	2	1100110010
5	1	1100110001
5	9	1100110000
4	4	1100101111
1	1	1100101110
1	2	1100101101
5	3	1100101100
2	2	1100101011
1	2	1100101010
3	3	1100101001
8	5	1100101000
5	2	1100100111
